mineral,category,color,amount,value,pill_text,pill_title
Aluminium,common,"rgb(136, 153, 170)",5,21425,"21,425","Aluminium ×5 = 21,425"
Aluminium,common,"rgb(136, 153, 170)",6,25710,"25,710","Aluminium ×6 = 25,710"
Ice,common,"rgb(136, 153, 170)",1,4300,"4,300","Ice ×1 = 4,300"
Ice,common,"rgb(136, 153, 170)",2,8600,"8,600","Ice ×2 = 8,600"
Ice,common,"rgb(136, 153, 170)",3,12900,"12,900","Ice ×3 = 12,900"
Ice,common,"rgb(136, 153, 170)",4,17200,"17,200","Ice ×4 = 17,200"
Ice,common,"rgb(136, 153, 170)",5,21500,"21,500","Ice ×5 = 21,500"
Ice,common,"rgb(136, 153, 170)",6,25800,"25,800","Ice ×6 = 25,800"
ROC Mineables,ROC Mineables,"rgb(102, 221, 170)",1,4000,"4,000","ROC Mineables ×1 = 4,000"
ROC Mineables,ROC Mineables,"rgb(102, 221, 170)",2,8000,"8,000","ROC Mineables ×2 = 8,000"
ROC Mineables,ROC Mineables,"rgb(102, 221, 170)",3,12000,"12,000","ROC Mineables ×3 = 12,000"
ROC Mineables,ROC Mineables,"rgb(102, 221, 170)",4,16000,"16,000","ROC Mineables ×4 = 16,000"
ROC Mineables,ROC Mineables,"rgb(102, 221, 170)",5,20000,"20,000","ROC Mineables ×5 = 20,000"
ROC Mineables,ROC Mineables,"rgb(102, 221, 170)",6,24000,"24,000","ROC Mineables ×6 = 24,000"
ROC Mineables,ROC Mineables,"rgb(102, 221, 170)",7,28000,"28,000","ROC Mineables ×7 = 28,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",1,3000,"3,000","FPS Mineables ×1 = 3,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",2,6000,"6,000","FPS Mineables ×2 = 6,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",3,9000,"9,000","FPS Mineables ×3 = 9,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",4,12000,"12,000","FPS Mineables ×4 = 12,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",5,15000,"15,000","FPS Mineables ×5 = 15,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",6,18000,"18,000","FPS Mineables ×6 = 18,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",7,21000,"21,000","FPS Mineables ×7 = 21,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",8,24000,"24,000","FPS Mineables ×8 = 24,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",9,27000,"27,000","FPS Mineables ×9 = 27,000"
FPS Mineables,FPS Mineables,"rgb(119, 187, 221)",10,30000,"30,000","FPS Mineables ×10 = 30,000"
Salvage,Salvage,"rgb(170, 153, 119)",1,2000,"2,000","Salvage ×1 = 2,000"
Salvage,Salvage,"rgb(170, 153, 119)",2,4000,"4,000","Salvage ×2 = 4,000"
Salvage,Salvage,"rgb(170, 153, 119)",3,6000,"6,000","Salvage ×3 = 6,000"
Salvage,Salvage,"rgb(170, 153, 119)",4,8000,"8,000","Salvage ×4 = 8,000"
Salvage,Salvage,"rgb(170, 153, 119)",5,10000,"10,000","Salvage ×5 = 10,000"
Salvage,Salvage,"rgb(170, 153, 119)",6,12000,"12,000","Salvage ×6 = 12,000"
Salvage,Salvage,"rgb(170, 153, 119)",7,14000,"14,000","Salvage ×7 = 14,000"
Salvage,Salvage,"rgb(170, 153, 119)",8,16000,"16,000","Salvage ×8 = 16,000"
Salvage,Salvage,"rgb(170, 153, 119)",9,18000,"18,000","Salvage ×9 = 18,000"
Salvage,Salvage,"rgb(170, 153, 119)",10,20000,"20,000","Salvage ×10 = 20,000"
Salvage,Salvage,"rgb(170, 153, 119)",11,22000,"22,000","Salvage ×11 = 22,000"
Salvage,Salvage,"rgb(170, 153, 119)",12,24000,"24,000","Salvage ×12 = 24,000"
Salvage,Salvage,"rgb(170, 153, 119)",13,26000,"26,000","Salvage ×13 = 26,000"
Salvage,Salvage,"rgb(170, 153, 119)",14,28000,"28,000","Salvage ×14 = 28,000"
Salvage,Salvage,"rgb(170, 153, 119)",15,30000,"30,000","Salvage ×15 = 30,000"
